date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:28	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2022:54:27%20GMT	http://science.widener.edu/svb/tutorial/index.html	science.widener.edu/svb/tutorial/index.0.delayed	(from )
17:54:28	9125/9125	---M--	200	added ('OK')	text/html	etag:%2223a5-3e746e4a6de00%22	https://science.widener.edu/svb/tutorial/index.html	science.widener.edu/svb/tutorial/index.html	(from )
17:54:30	62/62	---M--	200	added ('OK')	text/plain	etag:%223e-574bce3ab4b0a%22	https://science.widener.edu/robots.txt		(from )
17:54:30	8256/8256	---M--	200	added ('OK')	text/html	etag:%222040-3e746e4a6de00%22	https://science.widener.edu/svb/tutorial/index_old.html	science.widener.edu/svb/tutorial/index_old.html	(from https://science.widener.edu/svb/tutorial/index.html)
17:54:31	5569/5569	---M--	200	added ('OK')	text/html	etag:%2215c1-3c689a65c0680%22	https://science.widener.edu/svb/tutorial/sigfigurescsn7.html	science.widener.edu/svb/tutorial/sigfigurescsn7.html	(from https://science.widener.edu/svb/tutorial/index.html)
17:54:32	4321/4321	---M--	200	added ('OK')	text/html	etag:%2210e1-3c6899c494a40%22	https://science.widener.edu/svb/tutorial/exponentscsn7.html	science.widener.edu/svb/tutorial/exponentscsn7.html	(from https://science.widener.edu/svb/tutorial/index.html)
17:54:33	6406/6406	---M--	200	added ('OK')	text/html	etag:%221906-3c689a63d8200%22	https://science.widener.edu/svb/tutorial/scinotcsn7.html	science.widener.edu/svb/tutorial/scinotcsn7.html	(from https://science.widener.edu/svb/tutorial/index.html)
17:54:34	4726/4726	---M--	200	added ('OK')	text/html	etag:%221276-3c689a39e1f00%22	https://science.widener.edu/svb/tutorial/percentscsn7.html	science.widener.edu/svb/tutorial/percentscsn7.html	(from https://science.widener.edu/svb/tutorial/index.html)
17:54:35	4643/4643	---M--	200	added ('OK')	text/html	etag:%221223-3c6899a610240%22	https://science.widener.edu/svb/tutorial/densitycsn7.html	science.widener.edu/svb/tutorial/densitycsn7.html	(from https://science.widener.edu/svb/tutorial/index.html)
17:54:36	6641/6641	---M--	200	added ('OK')	text/html	etag:%2219f1-3c6899a7f86c0%22	https://science.widener.edu/svb/tutorial/densitywpcsn7.html	science.widener.edu/svb/tutorial/densitywpcsn7.html	(from https://science.widener.edu/svb/tutorial/index.html)
